Age,Fare,C,Q,Family,Child,Female,Class_1,Class_2
22,7,0,0,1,0,0,0,0
38,71,1,0,1,0,1,1,0
26,7,0,0,0,0,1,0,0
35,53,0,0,1,0,1,1,0
35,8,0,0,0,0,0,0,0
21,8,0,1,0,0,0,0,0
54,51,0,0,0,0,0,1,0
2,21,0,0,1,1,0,0,0
27,11,0,0,1,0,1,0,0
14,30,1,0,1,1,0,0,1
4,16,0,0,1,1,0,0,0
58,26,0,0,0,0,1,1,0
20,8,0,0,0,0,0,0,0
39,31,0,0,1,0,0,0,0
14,7,0,0,0,1,0,0,0
55,16,0,0,0,0,1,0,1
2,29,0,1,1,1,0,0,0
24,13,0,0,0,0,0,0,1
31,18,0,0,1,0,1,0,0
28,7,1,0,0,0,1,0,0
35,26,0,0,0,0,0,0,1
34,13,0,0,0,0,0,0,1
15,8,0,1,0,1,0,0,0
28,35,0,0,0,0,0,1,0
8,21,0,0,1,1,0,0,0
38,31,0,0,1,0,1,0,0
34,7,1,0,0,0,0,0,0
19,263,0,0,1,0,0,1,0
17,7,0,1,0,0,1,0,0
40,7,0,0,0,0,0,0,0
40,27,1,0,0,0,0,1,0
24,146,1,0,1,0,1,1,0
31,7,0,1,0,0,1,0,0
66,10,0,0,0,0,0,0,1
28,82,1,0,1,0,0,1,0
42,52,0,0,1,0,0,1,0
21,7,1,0,0,0,0,0,0
21,8,0,0,0,0,0,0,0
18,18,0,0,1,0,1,0,0
14,11,1,0,1,1,0,0,0
40,9,0,0,1,0,1,0,0
27,21,0,0,1,0,1,0,1
40,7,1,0,0,0,0,0,0
3,41,1,0,1,1,0,0,1
19,7,0,1,0,0,1,0,0
41,8,0,0,0,0,0,0,0
38,15,0,1,1,0,0,0,0
29,7,0,1,0,0,1,0,0
41,21,1,0,1,0,0,0,0
18,17,0,0,1,0,1,0,0
7,39,0,0,1,1,0,0,0
21,7,0,0,0,0,0,0,0
49,76,1,0,1,0,1,1,0
29,26,0,0,1,0,1,0,1
65,61,1,0,1,0,0,1,0
33,35,0,0,0,0,0,1,0
21,10,0,0,0,0,1,0,1
28,7,1,0,0,0,0,0,0
5,27,0,0,1,1,0,0,1
11,46,0,0,1,1,0,0,0
22,7,1,0,0,0,0,0,0
38,80,0,0,0,0,1,1,0
45,83,0,0,1,0,0,1,0
4,27,0,0,1,1,0,0,0
19,27,1,0,0,0,0,1,0
36,15,1,0,1,0,0,0,0
29,10,0,0,0,0,1,0,1
19,8,0,0,0,0,0,0,0
17,7,0,0,1,0,1,0,0
26,8,0,0,1,0,0,0,0
32,10,0,0,0,0,0,0,1
16,46,0,0,1,0,1,0,0
21,73,0,0,0,0,0,0,1
26,14,1,0,1,0,0,0,0
32,56,0,0,0,0,0,0,0
25,7,0,0,0,0,0,0,0
28,7,0,0,0,0,0,0,0
21,8,0,0,0,0,0,0,0
0,29,0,0,1,1,0,0,1
30,12,0,0,0,0,1,0,0
22,9,0,0,0,0,0,0,0
29,9,0,0,0,0,0,0,0
21,7,0,1,0,0,1,0,0
28,47,0,0,0,0,0,1,0
17,10,0,0,0,0,1,0,1
33,15,0,0,1,0,1,0,0
16,34,0,0,1,0,0,0,0
26,8,0,0,0,0,0,0,0
23,263,0,0,1,0,1,1,0
24,8,0,0,0,0,0,0,0
29,8,0,0,0,0,0,0,0
20,7,0,0,0,0,0,0,0
46,61,0,0,1,0,0,1,0
26,20,0,0,1,0,0,0,0
59,7,0,0,0,0,0,0,0
24,8,0,0,0,0,0,0,0
71,34,1,0,0,0,0,1,0
23,63,1,0,1,0,0,1,0
34,23,0,0,1,0,1,0,1
34,26,0,0,1,0,0,0,1
28,7,0,0,0,0,1,0,0
16,7,0,0,0,0,0,0,0
21,77,0,0,1,0,0,1,0
33,8,0,0,0,0,0,0,0
37,7,0,0,1,0,0,0,0
28,7,0,0,0,0,0,0,0
21,7,0,0,0,0,1,0,0
34,7,0,0,0,0,0,0,0
38,7,0,0,0,0,0,0,0
23,24,0,1,1,0,1,0,0
47,52,0,0,0,0,0,1,0
14,14,1,0,1,1,0,0,0
22,8,0,0,0,0,0,0,0
20,9,0,0,1,0,1,0,0
17,14,1,0,0,0,1,0,0
21,7,0,0,0,0,0,0,0
70,7,0,1,0,0,0,0,0
29,21,0,0,1,0,0,0,1
24,247,1,0,1,0,0,1,0
2,31,0,0,1,1,0,0,0
21,73,0,0,1,0,0,0,1
21,8,0,0,0,0,0,0,0
32,30,1,0,1,0,0,0,1
32,13,0,0,0,0,1,0,1
54,77,0,0,1,0,0,1,0
12,11,1,0,1,1,0,0,0
41,7,0,1,0,0,0,0,0
24,7,0,0,0,0,0,0,0
36,22,1,0,1,0,1,0,0
45,6,0,0,0,0,0,0,0
33,7,1,0,0,0,0,0,0
20,7,0,0,0,0,0,0,0
47,14,0,0,1,0,1,0,0
29,26,0,0,1,0,1,0,1
25,13,0,0,0,0,0,0,1
23,15,1,0,0,0,0,0,1
19,26,0,0,1,0,1,1,0
37,53,0,0,1,0,0,1,0
16,9,0,0,0,0,0,0,0
24,79,1,0,0,0,0,1,0
24,15,1,0,1,0,1,0,0
22,7,0,0,0,0,1,0,0
24,15,0,0,1,0,1,0,0
19,6,0,1,0,0,0,0,0
18,11,0,0,0,0,0,0,1
19,36,0,0,1,0,0,0,1
27,7,0,0,0,0,0,0,0
9,34,0,0,1,1,0,0,0
36,26,0,0,1,0,0,0,1
42,13,0,0,0,0,0,0,1
51,12,0,0,0,0,0,0,1
22,66,0,0,1,0,1,1,0
55,8,0,0,0,0,0,0,0
40,14,0,0,1,0,0,0,0
23,7,0,0,0,0,0,0,0
51,61,1,0,1,0,0,1,0
16,7,0,1,0,0,1,0,0
30,8,0,0,0,0,0,0,0
20,8,0,0,0,0,0,0,0
20,69,0,0,1,0,0,0,0
44,16,0,0,1,0,0,0,0
40,15,0,0,0,0,1,0,1
26,7,0,0,0,0,0,0,0
17,8,0,0,0,0,0,0,0
1,39,0,0,1,1,0,0,0
9,20,0,0,1,1,0,0,0
17,55,0,0,1,0,1,1,0
45,27,0,0,1,0,1,0,0
24,25,0,0,0,0,0,1,0
28,56,0,0,0,0,0,0,0
61,33,0,0,0,0,0,1,0
4,29,0,1,1,1,0,0,0
1,11,0,0,1,1,0,0,0
21,7,0,0,0,0,0,0,0
56,30,1,0,0,0,0,1,0
18,7,0,0,1,0,0,0,0
18,25,0,0,1,0,0,0,0
50,28,1,0,0,0,1,1,0
30,13,0,0,0,0,0,0,1
36,0,0,0,0,0,0,0,0
21,69,0,0,1,0,1,0,0
42,15,1,0,0,0,0,0,1
9,31,0,0,1,1,0,0,0
1,39,0,0,1,1,0,0,1
4,22,0,0,1,1,0,0,0
34,50,0,0,0,0,0,1,0
38,15,0,1,1,0,1,0,0
45,26,0,0,0,0,0,1,0
40,15,0,1,1,0,0,0,0
36,7,0,0,0,0,0,0,0
32,13,0,0,0,0,1,0,1
19,13,0,0,0,0,0,0,1
19,7,0,0,1,0,1,0,0
3,26,0,0,1,1,0,0,1
44,27,1,0,0,0,1,1,0
58,146,1,0,0,0,1,1,0
25,7,0,1,0,0,0,0,0
42,8,0,0,1,0,0,0,0
32,7,0,1,0,0,1,0,0
24,13,0,0,0,0,1,0,1
28,9,0,0,0,0,0,0,0
35,69,0,0,1,0,0,0,0
34,6,0,0,0,0,0,0,0
45,7,1,0,0,0,0,0,0
18,8,0,0,0,0,0,0,0
2,10,0,0,1,1,0,0,0
32,15,0,0,1,0,0,0,0
26,18,1,0,0,0,0,0,0
16,7,0,1,0,0,1,0,0
40,31,1,0,0,0,0,1,0
24,7,0,0,0,0,0,0,0
35,21,0,0,0,0,1,0,1
22,7,0,0,0,0,0,0,0
30,13,0,0,0,0,0,0,1
21,7,0,1,1,0,0,0,0
31,113,1,0,1,0,1,1,0
27,7,0,0,0,0,1,0,0
42,27,0,0,1,0,0,0,1
32,76,1,0,0,0,1,1,0
30,10,0,0,0,0,0,0,1
16,8,0,0,0,0,0,0,0
27,13,0,0,0,0,0,0,1
51,8,0,0,0,0,0,0,0
33,7,0,0,0,0,0,0,0
38,90,0,0,1,0,0,1,0
22,9,0,0,0,0,0,0,0
19,10,0,0,0,0,0,0,1
20,7,0,0,0,0,0,0,0
18,13,0,0,0,0,0,0,1
22,25,0,0,1,0,1,0,0
35,83,0,0,1,0,1,1,0
29,7,0,0,0,0,0,0,0
59,13,0,0,0,0,0,0,1
5,31,0,0,1,1,0,0,0
24,10,0,0,0,0,0,0,1
18,7,0,0,0,0,1,0,0
44,26,0,0,1,0,0,0,1
8,26,0,0,1,1,0,0,1
19,10,0,0,0,0,0,0,1
33,12,0,0,0,0,0,0,1
28,14,1,0,1,0,1,0,0
40,15,0,1,1,0,1,0,0
29,10,0,0,0,0,0,0,1
22,7,0,0,0,0,0,0,0
30,7,1,0,0,0,0,0,0
44,90,0,1,1,0,0,1,0
25,7,0,0,0,0,1,0,0
24,14,0,0,1,0,1,0,1
37,52,0,0,1,0,0,1,0
54,26,0,0,1,0,0,0,1
26,7,0,0,0,0,0,0,0
29,10,0,0,1,0,1,0,0
62,26,0,0,0,0,0,1,0
30,16,0,0,1,0,0,0,0
41,20,0,0,1,0,1,0,0
29,15,1,0,1,0,1,0,0
17,79,1,0,0,0,1,1,0
30,86,0,0,0,0,1,1,0
35,512,1,0,0,0,1,1,0
50,26,0,0,1,0,1,0,1
32,7,0,1,0,0,0,0,0
3,31,0,0,1,1,0,0,0
52,79,0,0,1,0,0,1,0
40,0,0,0,0,0,0,1,0
31,7,0,1,0,0,1,0,0
36,10,0,0,0,0,0,0,1
16,39,0,0,1,0,0,0,0
25,7,0,0,1,0,0,0,0
58,153,0,0,1,0,1,1,0
35,135,0,0,0,0,1,1,0
24,31,0,0,0,0,0,1,0
25,0,0,0,0,0,0,0,0
41,19,0,0,1,0,1,0,1
37,29,1,0,1,0,0,1,0
26,7,0,1,0,0,1,0,0
63,77,0,0,1,0,1,1,0
45,7,0,0,0,0,1,0,0
37,0,0,0,0,0,0,0,1
7,29,0,1,1,1,0,0,0
35,20,0,0,1,0,1,0,0
65,7,0,1,0,0,0,0,0
28,7,0,0,0,0,0,0,0
16,9,0,0,0,0,0,0,0
19,8,0,0,0,0,0,0,0
42,26,0,0,0,0,0,1,0
33,8,1,0,0,0,0,0,0
30,9,0,0,0,0,0,0,0
22,7,0,0,0,0,0,0,0
42,13,0,0,0,0,0,0,1
22,7,0,1,0,0,1,0,0
26,78,0,0,0,0,1,1,0
19,91,1,0,1,0,1,1,0
36,12,1,0,0,0,0,0,1
24,8,0,0,0,0,1,0,0
24,7,0,0,0,0,0,0,0
15,27,1,0,0,1,0,1,0
23,7,1,0,0,0,0,0,0
2,151,0,0,1,1,0,1,0
17,30,0,0,0,0,0,1,0
50,247,1,0,1,0,1,1,0
32,7,0,1,0,0,1,0,0
36,23,0,1,1,0,0,0,0
19,0,0,0,0,0,0,0,0
31,12,0,1,0,0,1,0,1
34,8,0,0,0,0,0,0,0
0,151,0,0,1,1,0,1,0
40,110,1,0,0,0,1,1,0
17,108,1,0,1,0,1,1,0
30,24,1,0,1,0,0,0,1
30,56,1,0,0,0,1,1,0
24,83,1,0,0,0,1,1,0
18,262,1,0,1,0,1,1,0
26,26,0,0,1,0,1,0,1
28,7,0,0,0,0,0,0,0
43,26,0,0,1,0,0,0,1
26,7,0,0,0,0,1,0,0
24,26,0,0,1,0,1,0,1
54,14,0,0,0,0,0,0,1
31,164,0,0,1,0,1,1,0
40,134,1,0,1,0,1,1,0
22,7,0,0,0,0,0,0,0
27,7,0,0,0,0,0,0,0
30,12,0,1,0,0,1,0,1
22,29,0,0,1,0,1,0,1
35,69,0,0,1,0,0,0,0
36,135,1,0,0,0,1,1,0
61,6,0,0,0,0,0,0,0
36,13,0,0,0,0,1,0,1
31,20,0,0,1,0,1,0,0
16,57,1,0,1,0,1,1,0
36,23,0,1,1,0,1,0,0
45,28,0,0,0,0,0,1,0
38,153,0,0,1,0,0,1,0
16,18,0,0,1,0,0,0,0
23,133,0,0,1,0,1,1,0
28,7,0,0,0,0,0,0,0
29,66,0,0,1,0,0,1,0
41,134,1,0,0,0,1,1,0
45,8,0,0,0,0,0,0,0
45,35,0,0,0,0,0,1,0
2,26,0,0,1,1,0,0,1
24,263,0,0,1,0,1,1,0
28,13,0,0,0,0,0,0,1
25,13,0,0,0,0,0,0,1
36,13,0,0,0,0,0,0,1
24,13,0,0,0,0,1,0,1
40,13,0,0,0,0,1,0,1
39,16,0,0,1,0,1,0,0
3,15,0,0,1,1,0,0,0
42,8,0,0,0,0,0,0,0
23,9,0,0,0,0,0,0,0
24,35,0,0,0,0,0,1,0
15,7,1,0,1,1,0,0,0
25,17,0,0,1,0,0,0,0
36,7,1,0,0,0,0,0,0
28,9,0,0,0,0,0,0,0
22,55,0,0,1,0,1,1,0
38,13,0,0,0,0,1,0,1
43,7,0,1,0,0,1,0,0
33,7,0,1,0,0,1,0,0
40,27,0,0,1,0,0,0,0
29,27,1,0,1,0,0,0,1
45,14,1,0,1,0,1,0,0
35,7,0,0,0,0,0,0,0
27,15,0,1,1,0,0,0,0
30,7,0,0,0,0,0,0,0
60,75,1,0,1,0,1,1,0
38,7,1,0,0,0,1,0,0
32,7,0,1,0,0,1,0,0
24,69,1,0,0,0,1,1,0
25,55,1,0,1,0,0,1,0
18,6,0,0,1,0,0,0,0
19,8,0,0,0,0,0,0,0
22,135,1,0,0,0,0,1,0
3,21,0,0,1,1,0,0,0
19,82,1,0,1,0,1,1,0
22,7,0,0,0,0,1,0,0
27,211,1,0,1,0,0,1,0
20,4,1,0,0,0,0,0,0
19,7,0,0,0,0,0,0,0
42,227,1,0,0,0,1,1,0
1,15,1,0,1,1,0,0,0
32,7,0,0,0,0,0,0,0
35,52,0,0,1,0,1,1,0
22,7,0,0,0,0,0,0,0
18,73,0,0,0,0,0,0,1
1,46,0,0,1,1,0,0,0
36,13,0,0,0,0,1,0,1
25,7,0,1,0,0,0,0,0
17,12,1,0,0,0,1,0,1
36,120,0,0,1,0,0,1,0
21,7,0,0,0,0,0,0,0
28,7,0,0,1,0,0,0,0
23,113,1,0,1,0,1,1,0
24,16,0,0,1,0,1,0,0
22,7,0,0,0,0,0,0,0
31,7,0,0,0,0,1,0,0
46,26,0,0,0,0,0,0,1
23,10,0,0,0,0,0,0,1
28,12,0,0,0,0,1,0,1
39,7,0,0,0,0,0,0,0
26,8,0,0,0,0,0,0,0
21,9,0,0,1,0,1,0,0
28,15,0,0,1,0,0,0,0
20,8,0,0,0,0,1,0,0
34,21,0,0,1,0,0,0,1
51,7,0,0,0,0,0,0,0
3,18,0,0,1,1,0,0,1
21,7,0,0,0,0,0,0,0
33,25,0,0,1,0,1,0,0
37,7,0,0,0,0,0,0,0
15,6,0,1,0,1,0,0,0
33,90,0,1,1,0,1,1,0
19,0,0,0,0,0,0,0,1
44,7,0,0,0,0,0,0,0
37,8,0,0,0,0,1,0,0
34,32,0,0,1,0,1,0,1
18,13,0,0,1,0,1,0,1
30,13,0,0,0,0,0,0,1
10,24,0,0,1,1,0,0,0
35,7,1,0,0,0,0,0,0
21,7,0,1,0,0,0,0,0
29,7,0,0,0,0,0,0,0
28,14,0,0,1,0,1,0,0
18,20,0,0,1,0,0,0,0
36,7,0,0,0,0,0,0,0
28,26,0,0,1,0,1,0,1
19,26,0,0,0,0,1,0,1
28,7,0,1,0,0,0,0,0
32,8,0,0,0,0,0,0,0
28,26,0,0,0,0,0,1,0
31,16,0,0,1,0,1,0,0
42,26,0,0,1,0,1,0,1
17,7,0,0,0,0,0,0,0
50,55,0,0,1,0,0,1,0
14,120,0,0,1,1,0,1,0
21,34,0,0,1,0,1,0,0
24,18,0,0,1,0,1,0,1
64,263,0,0,1,0,0,1,0
31,10,0,0,0,0,0,0,1
45,26,0,0,1,0,1,0,1
20,9,0,0,0,0,0,0,0
25,7,0,0,1,0,0,0,0
28,13,0,0,0,0,1,0,1
